gwas_phenotype	atlas	hemisphere	region	fs_name
aparc-a2009s_lh_volume_Lat-Fis-ant-Vertical	a2009s	lh	temporal	Lat_Fis-ant-Vertical
aparc-a2009s_lh_volume_Lat-Fis-post	a2009s	lh	temporal	Lat_Fis-post
aparc-a2009s_lh_volume_Pole-occipital	a2009s	lh	occipital	Pole_occipital
aparc-a2009s_lh_volume_Pole-temporal	a2009s	lh	temporal	Pole_temporal
aparc-a2009s_lh_volume_S-calcarine	a2009s	lh	occipital	S_calcarine
aparc-a2009s_lh_volume_S-central	a2009s	lh	frontoparietal	S_central
aparc-a2009s_lh_volume_S-cingul-Marginalis	a2009s	lh	cingulate	S_cingul-Marginalis
aparc-a2009s_lh_volume_S-circular-insula-ant	a2009s	lh	insula	S_circular_insula_ant
aparc-a2009s_lh_volume_S-circular-insula-inf	a2009s	lh	insula	S_circular_insula_inf
aparc-a2009s_lh_volume_S-circular-insula-sup	a2009s	lh	insula	S_circular_insula_sup
aparc-a2009s_lh_volume_S-collat-transv-ant	a2009s	lh	occipital	S_collat_transv_ant
aparc-a2009s_lh_volume_S-collat-transv-post	a2009s	lh	occipital	S_collat_transv_post
aparc-a2009s_lh_volume_S-front-inf	a2009s	lh	frontal	S_front_inf
aparc-a2009s_lh_volume_S-front-middle	a2009s	lh	frontal	S_front_middle
aparc-a2009s_lh_volume_S-front-sup	a2009s	lh	frontal	S_front_sup
aparc-a2009s_lh_volume_S-interm-prim-Jensen	a2009s	lh	parietal	S_interm_prim-Jensen
aparc-a2009s_lh_volume_S-intrapariet+P-trans	a2009s	lh	parietal	S_intrapariet_and_P_trans
aparc-a2009s_lh_volume_S-oc-middle+Lunatus	a2009s	lh	occipital	S_oc_middle_and_Lunatus
aparc-a2009s_lh_volume_S-oc-sup+transversal	a2009s	lh	occipital	S_oc_sup_and_transversal
aparc-a2009s_lh_volume_S-occipital-ant	a2009s	lh	occipital	S_occipital_ant
aparc-a2009s_lh_volume_S-oc-temp-lat	a2009s	lh	occipitotemporal	S_oc-temp_lat
aparc-a2009s_lh_volume_S-oc-temp-med+Lingual	a2009s	lh	occipitotemporal	S_oc-temp_med_and_Lingual
aparc-a2009s_lh_volume_S-orbital-lateral	a2009s	lh	frontal	S_orbital_lateral
aparc-a2009s_lh_volume_S-orbital-med-olfact	a2009s	lh	frontal	S_orbital_med-olfact
aparc-a2009s_lh_volume_S-orbital-H-Shaped	a2009s	lh	frontal	S_orbital-H_Shaped
aparc-a2009s_lh_volume_S-parieto-occipital	a2009s	lh	parietal	S_parieto_occipital
aparc-a2009s_lh_volume_S-pericallosal	a2009s	lh	corpus callosum	S_pericallosal
aparc-a2009s_lh_volume_S-postcentral	a2009s	lh	parietal	S_postcentral
aparc-a2009s_lh_volume_S-precentral-inf-part	a2009s	lh	frontal	S_precentral-inf-part
aparc-a2009s_lh_volume_S-precentral-sup-part	a2009s	lh	frontal	S_precentral-sup-part
aparc-a2009s_lh_volume_S-suborbital	a2009s	lh	frontal	S_suborbital
aparc-a2009s_lh_volume_S-subparietal	a2009s	lh	parietal	S_subparietal
aparc-a2009s_lh_volume_S-temporal-inf	a2009s	lh	temporal	S_temporal_inf
